mans,rus,note
по̄р,икра,
по̄ри,поперечный,
по̄ртыӈ,питательный,
по̄ртыӈ,сытный,
по̄рха,парка,верхняя меховая одежда
по̄рхай,вьюга,
по̄рых,туловище,
по̄сла̄лыглаӈкве,рисовать,
по̄слахтуӈкве,сфотографироваться,
по̄слымут,рисунок,
по̄ступта̄лыглаӈкве,обозначать,
по̄ступта̄лыглаӈкве,отмечать,
по̄стхатуӈкве,целиться,
по̄сум,корма,лодки
по̄сыл пинуӈкве,обозначить,
по̄сьгуӈкве,лепить,
по̄х,бок,
по̄хан,нареч.прочь,
по̄хан,в сторону,
по̄хан-ва̄рхатуӈкве,посторониться,
по̄хан-лаквасаптуӈкве,отодвинуть,
по̄хан-минуӈкве,удалиться,в сторону
по̄хан-паттуӈкве,удалить,
по̄хан-хуйтуӈкве,отвлечь,
по̄хан-ё̄ӈхуӈкве,свернуть,в сторону
по̄хан-ӯрмыгтахтуӈкве,уклониться,
по̄хан-ӯрмыгтахтуӈкве,отодвинуться,
по̄хат,сбоку,
по̄хат,в стороне,
по̄хлап,пуговица,
по̄хлапта̄лыглаӈкве,застёгивать,
по̄хлаптаӈкве,застегнуть,
по̄хыс,личинка овода,
по̄яр,боярин,
по̄ӈт,нарост,на дереве
повара̄луӈкве,кататься,по земле
повара̄луӈкве,валяться,
повараӈкве,катиться,по земле
повармаптуӈкве,покатить,
повартта̄лыглаӈкве,переворачивать,
повартта̄лыглаӈкве,катать,по земле
поварттаӈкве,покатить,по земле
повырмаптуӈкве,измучить,
повырмаптуӈкве,довести до истощения,о животном
повырматуӈкве,измучиться,
повырматуӈкве,выбиться из сил,о животном
покапаӈкве,лопнуть,
покат,подпорка,
поклуӈкве,лопаться,
поклын суй,треск,про лёд
покматаӈкве,треснуть,про лёд
поктул,трещина,на льду
полысь,жалоба,
полысь,донос,
полысь тотуӈкве,жаловаться,
полысь тотуӈкве,доносить,
полых,сопли,
польтахтыгла̄луӈкве,простужаться,
пон,сеть,
понал,конопля,
понал,крапива,
понигтахтуӈкве,опереться,
понигтахтуӈкве,прижаться,
понигтаӈкве,давить,
понсантаӈкве,созревать,
понслаӈкве,вялить,
понслаӈкве,коптить,рыбу
понсум,спелый,
понсум,зрелый,
понсуӈкве,созреть,
понуӈкве,сучить,нитки из жил
поньхуӈкве,хныкать,
понюмта̄лыгла̄луӈкве,прижимать,неоднократно
понюмта̄нтуӈкве,прижимать,слегка
понюмтахтуӈкве,прижаться,
понюмтахтуӈкве,опереться,
понюмтаӈкве,прижать,
пора,время,
пора,пора,
поргасьлаӈкве,подпрыгивать,
поргуӈкве,прыгать,
пормас,товар,
пормас,багаж,
порс,сор,
порс,пыль,
порсво̄ӈха,помойка,
порсытаптуӈкве,засорить,
порсытаӈкве,засориться,
порсыӈ,сорный,
порсыӈ,мусорный,
порсыӈ,пыльный,
порсӯй,мышь,
порыг,борщевик,растение
порыгмаӈкве,прыгнуть,
порыгпанэ̄ква,лягушка,
порыгпанэ̄ква пы̄грись,головастик,
порыгпанэ̄ква пы̄грись,лягушонок,
порыслаӈкве,губить,
порыслаӈкве,истреблять,
пос,свет,
посал,протока,
послуӈкве,смочить,
поста̄л,тусклый,
поста̄л,тёмный,
постаяптуӈкве,осветить,
постаяӈкве,светать,быстро
постуӈкве,светить,
постуӈкве,освещать,
постыглаӈкве,рассветать,
посуӈкве,стирать,бельё
посуӈкве,доить,корову
посым,дым,
посымлаӈкве,дымить,
посымтаптуӈкве,окуривать,
посымыӈ,дымный,
посыӈ,яркий,
посыӈ,светлый,
пот,пуд,
поталы,ком,
поталы,шарообразный предмет,
потрамаӈкве,поговорить,
потрыӈ,разговорчивый,
потыр,речь,
потыр,рассказ,
потыр,беседа,
потырта̄лыглаӈкве,рассказывать,
потыртахтуӈкве,договориться,
потыртахтыгла̄луӈкве,договариваться,
потыртаӈкве,говорить,
потыртаӈкве,беседовать,
потыртаӈкве,рассказывать,
пӯри,пир,
пӯри,свадьба,
пӯрысь,свинья,
пӯрысь пы̄грись,поросёнок,
пӯсас,ограда,
пӯсас,изгородь,
пӯсас,забор,
пӯсас а̄ви,калитка,
пӯсмак,весы,
пӯсмакла̄лыглаӈкве,взвешивать,
пӯсмаклаӈкве,взвесить,
пӯська,бочка,
пӯт,котёл,
пӯти,пазуха,
пӯтъйив,таган,
пӯтыска,подушка,
пӯтыска то̄р,наволочка,
пуӈк,голова,
пуӈк,зуб,
пувиньта̄лыглаӈкве,трогать,
пувиньта̄лыглаӈкве,держать,
пувиньта̄лыглаӈкве,пожимать,
пувиньтаӈкве,потрогать,
пувиньтаӈкве,подержать,
пувиньтаӈкве,пожать,руку
пувсалаӈкве,ловить,
пувсалаӈкве,хватать,
пувтмуӈкве,толкнуть,
пувтмуӈкве,кольнуть,
пувтмуӈкве,ужалить,
пувтуп,острога,
пувтуӈкве,толкать,
пувтуӈкве,колоть,
пувтуӈкве,долбить,
пувтхатуӈкве,толкаться,
пувумтахтуӈкве,схватиться,
пувумтаӈкве,поймать,
пувумтаӈкве,схватить,
пувуӈкве,держать,
пувуӈкве,ловить,
пувыгла̄луӈкве,удерживать,
пукай,выступ,
пуки,живот,
пукла,насторожка,в слопце
пукни,анат.пуп,
пулиг-консуӈкве,исцарапать,
пулиг-манлыгтаӈкве,разорвать,
пулиг-ра̄туӈкве,разбить,
пулиг-са̄груӈкве,изрубить,
пулиг-сакватаӈкве,разломать,
пулиг-сакватаӈкве,разрушить,
пулиг-та̄вритаӈкве,раздробить,
пулиг-таӈруӈкве,измять,руками
пулиг-то̄втуӈкве,разжевать,
пулиг-якытлаӈкве,изрезать,
пулиг-ялыглаӈкве,растоптать,
пулп,пробка,
пулпалтаӈкве,растрепать,
пулпыӈ,лохматый,
пум,трава,
пум,сено,
пум са̄груӈкве,косить,
пумкан,луг,
пумкол,шалаш,из травы
пумсялахтуӈкве,увлекаться,
пумсялахтуӈкве,интересоваться,
пумто̄слуп,кузнечик,
пумтуӈкве,положить травяную стельку в обувь,
пун,перо,птичье
пун,пух,
пун,мех,
пун,шерсть,
пуныӈ,пушистый,
пуныӈ,косматый,
пуп,ушко,иголка
пуптапаӈкве,вдеть нитку,
пуптуӈкве,вдевать нитку,
пупыг,домашний дух-покровитель,
пурасаӈкве,загрызть,
пуруӈкве,грызть,
пуруӈкве,кусать,
пурхатуӈкве,кусаться,
пурхатуӈкве,грызться,
пус,целый,
пус,здоровый,
пусгалтахтуӈкве,зашипеть,
пусгалтахтуӈкве,запыхтеть,
пусгалтахтуӈкве,засопеть,
пусгуӈкве,шипеть,
пусгуӈкве,пыхтеть,
пусгуӈкве,сопеть,
пусмалтахтуӈкве,лечиться,
пусмалтаӈкве,лечить,
пусмантаӈкве,выздоравливать,
пусмантаӈкве,заживать,о ране
пусмуӈкве,выздороветь,
пусмуӈкве,вылечиться,
пусмуӈкве,зажить,о ране
пуссын,все,
пуссын,всё,
пуста̄гыл,благополучно,
пуста̄гыл,в добром здоровье,
пусьтуӈкве,поколотить,
пусьтуӈкве,побить,
пут,ледяная корка,
пут,наледь,
путатаӈкве,шлёпнуться,
путатаӈкве,брякнуться,
путгалтахтуӈкве,забиться,о сердце
путгуӈкве,биться,
путгуӈкве,стучать,о сердце
пӯхталахтуӈкве,схватиться,в борьбе
пӯхталаӈкве,причаливать,к берегу
пӯхталаӈкве,прикасаться,
пӯхтуӈкве,причалить,
пӯхтуӈкве,попадаться,о рыбе
пы̄грись,мальчик,
пыг,сын,
пыг,парень,
ра̄гматуӈкве,упасть,
ра̄гматуӈкве,обрушиться,
ра̄гпуӈкве,провалиться,
ра̄кт,глина,
ра̄мпгуӈкве,колыхаться,
ра̄т,стук,
ра̄талтаӈкве,застучать,
ра̄тасьла̄лыглаӈкве,постукивать,
ра̄тасьлаӈкве,постучать,
ра̄туӈкве,бить,
ра̄туӈкве,стучать,
ра̄туӈкве,колотить,
ра̄тхатуӈкве,стучаться,
ра̄тхатуӈкве,биться,
ра̄тыглаӈкве,стучать,
ра̄тыглаӈкве,бить,
ӯрантаӈкве,поджидать,
ӯрантаӈкве,подкарауливать,
равтасаӈкве,плеснуть,
равтуӈкве,плескать,
равтхатуӈкве,плескаться,
равтхатуӈкве,брызгаться,
рагатаӈкве,упасть,
рагуӈкве,лететь,"о стружках, щепках"
ракв,дождь,
раквсам,капля,дождевая
раквуӈкве,идти,о дожде
рамуӈкве,закопать,
рапсюӈкве,мигать,
рапсюӈкве,моргать,
рапсялтахтуӈкве,замигать,
рапсялтахтуӈкве,заморгать,
рапсяса̄луӈкве,подмигивать,
рапсясаӈкве,мигнуть,
рапсясаӈкве,моргнуть,
расалтаӈкве,брызгать,водой
расгалтаӈкве,разбрызгать,
расгуӈкве,трепетать,
расмалтаӈкве,распустить,нить
расмаптуӈкве,брызнуть,
расмуӈкве,износиться,до дыр
рась,рысь,
ӯргала̄лыглаӈкве,оберегать,
ӯргала̄лыглаӈкве,защищать,
ӯргалахтуӈкве,беречься,
ӯргалахтуӈкве,остерегаться,
ӯргалаӈкве,охранять,
ре̄г,жар,
ре̄гтыглаӈкве,вспотеть,
ре̄гылттахтуӈкве,согреться,
ре̄гылттаӈкве,согреть,
ре̄гыӈ,жаркий,
ре̄пуӈкве,метать,сено
ре̄пыгтаӈкве,набросить аркан,
ре̄пыгтаӈкве,закинуть невод,
ре̄т,редкий,о предмете
ре̄тлахтуӈкве,притвориться,
ре̄тыӈ,ленивый,
ре̄тыӈ хо̄тпа,лодырь,
ӯринэ̄ква,ворона,
ро̄ви,можно,
ро̄вла̄луӈкве,выравнивать,
ро̄влахтуӈкве,сравняться,
ро̄влахтыгла̄луӈкве,равняться,
ро̄влаӈкве,сравнять,
ро̄вта̄л,запретный,
ро̄вта̄л,запрещённый,
ро̄вуӈкве,мочь,
ро̄вуӈкве,подходить,по размеру
ро̄сь,отмель,
ро̄сь,рыболовный песок,
ро̄хсуй,крик,
ро̄хтаӈкве,заставить кричать,
ро̄ӈхалтахтуӈкве,закричать,
ро̄ӈхувла̄луӈкве,прокричать,
ро̄ӈхувлаӈкве,крикнуть,
ро̄ӈхуӈкве,кричать,
роплуӈкве,причалить,плывущий предмет
ропуӈкве,подплыть к берегу,о плывущем предмете
росах,оборванный,в лохмотьях
рот,спокойный,
рот,тихий,
ротамлаӈкве,успокоиться,
ротамлаӈкве,притихнуть,
ротамы̄г,спокойно,
ротмуӈкве,успокоиться,
ротмуӈкве,стихнуть,
ротмыгпаӈкве,притихнуть,
ротты̄г,спокойно,
рохтасьлаӈкве,робеть,
рохтуптатта̄л,неустрашимый,
рохтуптаӈкве,напугать,
рохтуӈкве,испугаться,
рохтуӈкве,струсить,
рохтыглаӈкве,пугаться,
рохтыл,испуг,
рохтысьмаӈ,пугливый,
рохтысьмаӈ,трусливый,
рӯпата,работа,
рӯпата,труд,
рӯпатаӈ,трудный,
рӯпитаӈкве,работать,
рӯпитаӈкве,трудиться,
рӯт,родня,
рӯт нэ,родственница,
рӯт хум,родственник,
рӯтыӈ,породистый,
ӯруӈкве,ждать,
рума,приятель,
румалахтуӈкве,подружиться,
русы,бахрома,
русы,кисть,
русь,русский,
ӯс,город,
са̄в,много,
са̄вит,количество,
са̄вит,численность,
са̄вмалтаӈкве,умножить,
са̄вмалтаӈкве,увеличить,в числе
са̄вмалтмил,арифм.умножение,
са̄вмантаӈкве,увеличиваться,
са̄вмантаӈкве,возрастать,в числе
са̄вмуӈкве,увеличиться,в числе
са̄вни,черника,
са̄всыр,разный,
са̄всыр,различный,
са̄выӈпал,большинство,
са̄грап,топор,
са̄грап нал,топорище,
са̄груӈкве,рубить,
са̄груӈкве,косить,
са̄грыгла̄луӈкве,рубить,
са̄грыгла̄луӈкве,косить,неоднократно
са̄гумтаӈкве,переломить,
са̄гумтаӈкве,сломать,
са̄гылсаӈкве,обломать,
са̄йгантаӈкве,тлеть,об огне
са̄йк,трезвый,
са̄йкалаӈкве,пробудиться,
са̄йкатахтуӈкве,опомниться,
са̄йкатаӈкве,разбудить,
са̄йлахтуӈкве,скрыться,
са̄йлахтуӈкве,укрыться,
са̄йлаӈкве,скрыть,
са̄ймила̄г,взаймы,
са̄йт,прут,
са̄йт,хворостина,
са̄йтн ёхтуӈкве,очнуться,
са̄йтта̄л,бесчувственный,
са̄йтта̄л паттуӈкве,оглушить,
са̄йтта̄л патуӈкве,онеметь,
са̄йтта̄л патуӈкве,потерять сознание,
са̄йттыглаӈкве,опомниться,
са̄кваляк,сорока,
са̄ки,верёвка,невода
са̄ккар,сахар,
са̄ккар а̄ны,сахарница,
са̄латаӈкве,блеснуть,
са̄лаяӈкве,сверкнуть,о молнии
са̄лгуӈкве,засверкать,
са̄лм,полоса,
са̄лмыӈ,полосатый,
са̄лы,олень,
са̄лыл,блеск,
са̄лыл,вспышка,о молнии
са̄лыӯй,волк,
са̄лыӯй пы̄грись,волчонок,
са̄ль,жалко,
са̄ль,жаль,
са̄мвар,самовар,
са̄н,чуман,берестяная посудина
са̄нспуӈк,колено,
са̄при,скирд,
са̄при,стог,
са̄птуӈкве,присыпать,пах у ребёнка
са̄пыӈ,трухлявый,
са̄р,табак,
са̄р,махорка,
са̄р хартуӈкве,нюхать табак,
са̄р хӯрыг,кисет,
са̄ра̄ньтсуп,табакерка,
са̄ри,истинный,
са̄ри,непробудный,о сне
са̄ритахтуӈкве,жариться,
са̄ритаӈкве,жарить,
са̄ртын,сперва,
са̄ртын,спереди,
са̄ртын,рано,
са̄рытым,жаренный,
са̄скол,шалаш,
са̄стум ма̄,равнина,
са̄суӈкве,протекать,о лодке
са̄сыл,течь,в дне лодки
са̄тлов,семьдесят,
са̄тловит,семидесятый,
са̄тса̄тыт,семисотый,
са̄тсат,семьсот,
са̄туӈкве,заколдовать,
са̄туӈкве,очаровать,словом
са̄тхуйплов,семнадцать,
са̄тхуйпловит,семнадцатый,
са̄тыл,заклинание,
са̄ялта̄луӈкве,скрывать,
са̄ялтахтыглаӈкве,скрываться,
са̄ӈкамлаӈкве,прийти в чувство,
са̄ӈкамлаӈкве,очнуться,
са̄ӈкв,поясница,тазовая часть
са̄ӈква̄хвтас,почка,у живого существа
са̄ӈквылтап,струнный музыкальный инструмент,
са̄ӈквылтаӈкве,играть на струнном музыкальном инструменте,
са̄ӈки,чернядь,утка
са̄ӈхвасаӈкве,пнуть,
са̄ӈхвасаӈкве,лягнуть,
са̄ӈхвуӈкве,пинать,
са̄ӈхвуӈкве,лягать,
саӈквлыпил,клюква,
саӈквлыпуӈк,кочка,
саӈлатаӈкве,звенеть,металлическим предметом
саӈлуӈкве,звенеть,о металлическом предмете
савалап,сирота,
савалаӈкве,страдать,
савалаӈкве,мучиться,
савата̄луӈкве,измучить,
савата̄луӈкве,обидеть,
саватахтуӈкве,мучиться,
саватахтуӈкве,страдать,
саватаӈкве,мучить,
саватаӈкве,убить,табу
саватпи,мука,
саватпи,страдание,
савыӈ,ленивый,
савыӈкан,кладбище,
савыӈы̄г о̄луӈкве,лениться,
саг,коса,волосы
сагил,плетение,
саглуӈкве,сердиться,
сагуӈкве,плести,
сагуӈкве,вязать,
саилтаӈкве,сгноить,
саиӈ,гнойный,
сай,гной,
саймпум,лук,растение
сака,очень,
сакалтахтуӈкве,застонать,
сакатаӈкве,портить,
сакати,очень-то,
сакати,хотя бы,
сакв,обломок,
саквала̄лыглаӈкве,ломаться,
саквала̄лыглаӈкве,биться,
саквалаӈкве,сломаться,
саквалаӈкве,разбиться,
саквата̄лыглаӈкве,ломать,
саквата̄лыглаӈкве,бить,
саквататта̄л,нерушимый,
саквататта̄л,несокрушимый,
сакватахтуӈкве,ушибиться,
сакватаӈкве,сломать,
сакватаӈкве,разбить,
саквнял,дробь,
сакил,стон,
сакил,кряхтение,
сакква̄лыг,бусы,
сакпак,опрятный,
сакпак,аккуратный,
сакпакы̄г,бережно,
сакпакы̄г,аккуратно,
сакпакы̄г,опрятно,
сакуӈкве,портиться,
сакуӈкве,прокисать,
сакылтаӈкве,испортить,
сакылтаӈкве,проквасить,о молоке
сальгуӈкве,плевать,
салямаӈкве,плюнуть,
сам,глаз,
сам,семя,
сам а̄хвтас,зрачок,
самаиӈ,топкий,о болоте
самай,топь,
самай,трясина,
самвит,слеза,
самкер,очки,
самн патуӈкве,родиться,о человеке
сампал,одноглазый,
сампос,зрение,
сампоста̄л,слепой,
сампун,ресница,
сампыльта̄л,слепой,
самылтта̄лыглаӈкве,замечать,
самылттаӈкве,заметить,
сансытаӈкве,упасть на колени,
сап,подпорка,
сапта,циновка,
сапта,коврик,
саралахтуӈкве,придираться,
саран,коми,зырянин
сарано̄х,смола,
саранха̄п,неводник,
сартлуӈкве,тереть,
сартнэке̄р,пила,
сартувъяӈкве,мазнуть,
сартумта̄луӈкве,помазать,
сартумтаӈкве,чиркнуть,спичку
сартуӈкве,мазать,
сартуӈкве,пилить,
сартхатуӈкве,мазаться,
сартхатуӈкве,тереться,
сартхатыглаӈкве,натираться,
сартхатыглаӈкве,тереться,обо что-либо
сас,оба,
састла̄луӈкве,выравнивать,
састла̄луӈкве,выпрямлять,
састлаӈкве,выровнять,
састлаӈкве,выпрямить,
састум,гладкий,
састум,ровный,
састумта̄лыглаӈкве,выравнивать,
састумта̄лыглаӈкве,расправлять,
састумтаӈкве,выровнять,
састумтаӈкве,расправить,
сасыг,дядя,
сасыг,двоюродный брат,"по материнской линии, младше матери"
сат,садок,для рыбы
сатапаӈкве,смеркаться,
сатум,сумрак,
сатум,мгла,
сатум,мрак,
сатум,сумрачный,
сатум,тёмный,
сах,кишка,
сахвхатуӈкве,лягаться,
сахвхатуӈкве,пинаться,
сахи,шуба,
сахлуӈкве,топить жир,из рыбьих кишок
саюм,гнилой,
саюӈкве,гнить,
се̄лтумтахтуӈкве,броситься,
се̄лтумтаӈкве,бросить,
се̄п,карман,
се̄ранка,спичка,
се̄рмат,узда,
се̄с,щегол,
сехыльтаӈкве,скрипеть,
сё̄льси,горностай,
сё̄нх,бледный,
сё̄нхатаӈкве,побледнеть,о человеке
сё̄пита̄лыглаӈкве,приготовлять,
сё̄пита̄лыглаӈкве,снаряжать,
сё̄пита̄лыглаӈкве,починять,
сё̄питахтуӈкве,приготовиться,
сё̄питахтуӈкве,снарядиться,
сё̄питахтуӈкве,собраться,в дорогу
сё̄питахтыгла̄луӈкве,приготовляться,
сё̄питахтыгла̄луӈкве,снаряжаться,
сё̄питахтыгла̄луӈкве,собираться,в дорогу
сё̄пкас,черкан,ловушка на белок
сё̄при,затылок,
сё̄присов,шиворот,
сё̄р,навоз,
сё̄ра,пороша,
сё̄ри,цветок,
сё̄рита̄лыгла̄луӈкве,распускаться,о цветах
сё̄рита̄лыгла̄луӈкве,расцветать,
сё̄ритаӈкве,цвести,
сё̄ритаӈкве,зацвести,
сё̄ритаӈкве,расцвести,
сё̄ссуп,полчаса,
сёвал,чувал,
сёвгуӈкве,свистеть,крыльями при полёте
сёвнахнэ,сойка,птица
сёл,богатство,
сёлата̄лыгла̄луӈкве,оживляться,
сёлатаӈкве,оживиться,
сёлта̄л,вялый,
сёлыӈ,богатый,
сёлыӈы̄г е̄мтуӈкве,разбогатеть,
сёмта̄л,слабый,о живом существе
сёрхил,зарубка,
сёрхил,нарезка,
сёрхилтаӈкве,вырезать ножом,
сёрхилтаӈкве,делать зарубки,
сёхри,тонкий нож,
сёхри-хо̄хри,стрекоза,
ӯсил,усталость,
сиватаӈкве,свистнуть,про ветер
сивгалтахтуӈкве,засвистеть,о ветре
сивгуӈкве,свистеть,
сивгуӈкве,выть,о ветре
сивыльтаӈкве,шуршать,
сивыртаӈкве,шелестеть,
сил,бубенчик,
симыртаӈкве,хрустеть,
симыртаӈкве,скрипеть,о снеге
сипгуӈкве,пищать,о мыши
сиркеп,щеколда,
сирсюрнэ,малиновка,птица
сирхалтахтуӈкве,заскрипеть,
сирыхтан суй,скрип,
сирыхтаӈкве,скрипеть,
сисгуӈкве,визжать,
сиськурек,курица,
сиськурек пы̄грись,цыплёнок,
сӯй,бор,
сӯйпил,брусника,
сӯкыр,щокур,рыба
сӯл,кора,
сӯли,глина,
сӯлипӯт,кувшин,
сӯлт,скачка,
сӯлтмыгтаӈкве,поскакать,
сӯлттуӈкве,мчаться вскачь,о животных
сӯлтыл,галопом,мчаться
сӯлылаӈкве,накалиться,
сӯлыньтаӈкве,скакать,о животных
сӯлытаӈкве,накалить,
сӯльгуӈкве,бренчать,о металлическом предмете
ӯсма,мерёжа,
ӯсморах,малина,
сӯнт,отверстие,мешка
сӯнт,порог,двери
сӯнт,устье,реки
сӯнт,дуло,ружья
ӣснас,окно,
ӣснасйӣв,рама,оконная
ӣснаске̄р,стекло,оконное
ӣснасто̄р,занавеска,оконная
ӣснасха̄п,подоконник,
со̄ви,косой,
со̄ви,кривой,
со̄ви ла̄глуп,косолапый,
со̄ви хӯтылтаӈкве,искривить,
со̄виӣг ка̄ртуӈкве,искривиться,
со̄выр,заяц,
со̄выр пы̄грись,зайчонок,
со̄й,смирный,
со̄ймалтахтуӈкве,примиряться,
со̄ймалтаӈкве,примирить,
со̄ймуӈкве,примириться,
со̄пак,сапог,
со̄пас,запас,
со̄пас,припасы,
со̄пас ва̄руӈкве,запасти,
со̄пас ва̄руӈкве,накопить,
со̄пасла̄лыглаӈкве,запасать,
со̄пасла̄лыглаӈкве,заготовлять,
со̄паслахтуӈкве,запастись,
со̄паслаӈкве,запасти,
со̄паслаӈкве,заготовить,
со̄пла,столб,
со̄ргуй,глист,
со̄рни,золото,
со̄рниӈ,золотой,
со̄руп,лось,
со̄рыг,живот,желудок
со̄с,ручей,
со̄салтахтуӈкве,хлынуть,о воде
со̄сантахтуӈкве,литься,
со̄сантаӈкве,поливать,
со̄суӈкве,лить,
со̄схатуӈкве,налиться,
со̄схатыгла̄луӈкве,наливаться,
со̄сыгла̄луӈкве,наливать,
со̄сыгпаӈкве,налить,
со̄т,счастье,
со̄тта̄л,несчастный,
со̄тыр,тысяча,
со̄тыӈ,счастливый,
со̄хтантаӈкве,наматывать,
со̄хтантаӈкве,свёртывать,
со̄хтуӈкве,намотать,
со̄хтуӈкве,свернуть,
со̄юм,ручей,
со̄юм,родник,
сов,кожа,
сов,шкура,
совмуӈкве,закружиться,о голове
совнюр,сырьё,о шкурах
совт,набирушка,берестяная
совъя,замша,
совъя ва̄й,летняя обувь,
солвал,соль,
солвалта̄л,несолёный,
солвалтаӈкве,солить,
солвалыӈ,солёный,
солиӈ,покрытый инеем,
солкови,рубль,
соль,иней,
сольгуӈкве,падать со звоном,о сосульках
солюӈкве,покрываться инеем,
сома,прямо,
соманьсиӈ,вертикально,
сопам,могила,
соргуӈкве,пламенеть,
соргуӈкве,блестеть,про огонь
сори,седловина,между двумя вершинами гор
сори,лесная перемычка,между двумя болотами
сорнятаӈкве,вздрогнуть,
сорт,щука,
сорум,смерть,
сорумн патуӈкве,умереть,о человеке
сорых,сырок,рыба
сосса,родина,
сосса,отечество,
соссаӈ,местный,
сосыг,чёрная смородина,
сосыгйӣв,куст смородины,
сохрип,сени,
сохт,прямой,
сохт,стройный,
сохт са̄лы,олень-вожак,
сохтыл,прямо,
сохтыл,напрямик,
сохтыл хӯтылтаӈкве,разогнуть,
сохтыл хӯтылтаӈкве,выпрямить,
сӯп,рот,
сӯпас,рот,
сӯпта̄л-не̄лмта̄л,молчаливый,
сӯпта̄л-не̄лмта̄л,молча,
сӯпта̄л-не̄лмта̄л,немой,
сӯсам,медвежонок,табу
ӯстуӈкве,потерять,
ӯстыгла̄луӈкве,терять,
ӣсум,горячий,
ӯсувла̄луӈкве,шагать,
ӯсувлаӈкве,шагнуть,
ӯсуӈкве,погибнуть,о животных
сув,посох,
сув,хорей,
суиӈ,звонкий,
суиӈ,звучный,
суиӈ,шумный,
суиӈ,славный,о человеке
суиӈысь,звонко,
суиӈысь,громко,
суй,звук,
суй,шум,
суймалтаӈкве,сообщить,
суймалтаӈкве,уведомить,
суймалтаӈкве,донести,
суйта̄л,безмолвный,
суйта̄л,тихий,
суйта̄лпатуӈкве,умолкнуть,
суйта̄лпатуӈкве,затихнуть,
суйтмыгтаӈкве,зазвучать,
суйтмыгтаӈкве,зашуметь,
суйтуӈкве,звучать,
суйтуӈкве,слышаться,
суйтыгла̄луӈкве,раздаваться,о звуке
суйтыглаӈкве,прозвучать,
суйтыглаӈкве,прошуметь,
суккари,сухарь,
султум,искра,
сульгуӈкве,сыпаться,
сулья,бутылка,
сумуӈкве,киснуть,про молоко
сумыллаӈкве,слышаться,
сумыллаӈкве,раздаться,о звуке
сун,нарта,
сун,сани,
сунсуӈкве,смотреть,
сунсыгла̄луӈкве,просматривать,
сунсыгла̄луӈкве,проверять,
сунсыглахтуӈкве,осматриваться,
сунсыглаӈкве,просмотреть,
сунсыглаӈкве,осмотреть,
суп,рубашка,
супъёлы,подол,платья
супыг,осётр,
супыг-манумтаӈкве,разорвать,
супыг-патуӈкве,раздвоиться,
супыг-са̄груӈкве,разрубить,
супыг-саквалаӈкве,переломиться,
супыг-сакватаӈкве,переломить,
супыг-сылаяӈкве,рассечь,ножом
супыг-то̄лматаӈкве,лопнуть,
супыг-то̄лматаӈкве,разорваться,
супыг-хӯтылтаӈкве,перегнуть,
супыг-ю̄ныгтаӈкве,перебить,
супыг-яктуӈкве,разрезать,
сурмы̄г е̄мтуӈкве,отвердеть,
суртгалтахтуӈкве,засверкать,
суртгалтахтуӈкве,заблестеть,
суртгуӈкве,блестеть,
суртгуӈкве,сверкать,
сурты,годовалый телёнок оленя,
сурум,чёрствый,
сурум,твёрдый,
сурум,грубый,о предмете
сурумсӯнт,дымоход,в чуме
суруӈкве,черстветь,
суруӈкве,сохнуть,
сурыгла̄луӈкве,черстветь,
сурыгла̄луӈкве,высыхать,
сусантаӈкве,брести,"по воде, снегу, песку"
суссылта̄лыглаӈкве,показывать,
суссылтаӈкве,показать,
сустул,взгляд,
сусуӈкве,бродить,"по воде, снегу, песку"
сусхатуӈкве,казаться,
сусыгтаӈкве,бродить,"по воде, снегу, песку"
сутитаӈкве,судить,в суде
суюмла̄луӈкве,звучать,
суясьлаӈкве,шуметь,
ӯсхулы,улица,
сы̄г,налим,
ӯсыгта̄лыглаӈкве,замахиваться,
ӯсыгтаӈкве,замахнуться,
ӯсыл,шаг,
ӯсыньтаӈкве,зевать,
сылка,бандит,
сылка,разбойник,
сылталаӈкве,вспарывать,
сылталаӈкве,потрошить,рыбу
сылуӈкве,вспороть,
сылуӈкве,выпотрошить,рыбу
сым,сердце,
сымри,окунь,
сымта̄л,бессердечный,
сымта̄л,жестокий,
сымыӈ,сердечный,
сымыӈ какыр,грудная клетка,
сымыӈысь,сердечно,
сынгата̄луӈкве,обнимать,
сынумтаӈкве,обнять,быстро
сыныгтаӈкве,обнять,
сып,горка,
сып,скат,
сыпаль,ножны,
сыпгуӈкве,сосать,
сыплув,шея,
сыпыгхатуӈкве,лобзать,
сыпыгхатуӈкве,целовать,друг друга
сыр,шест,
сыр,кол,
сыр,жердь,
сырай,сабля,
сырай,шашка,
сырам,кусок хлеба,
сырах тулё̄выл,мизинец,
сыртэп,крупа,
сыртэп,каша,
сыс,спина,
сыслув,хребет,
сыслув,позвоночник,
сыснак лув,позвонок,
сыссуп,горбатый,
сыстам,чистый,
сыстамтахтуӈкве,чиститься,
сыстамтахтуӈкве,убираться,приводить в порядок
сыстамтаӈкве,чистить,
сыстамы̄г,нареч.чисто,
сыступ,весло,гребное
сысы,попутный,о ветре
сысыӈ улас,стул,
сытам,тайный,
сытам,глухой,о лесе
сытамыл,нареч.тайком,
сытамыл,украдкой,
сытнэ̄г,досыта,
сыхыртаӈкве,скрипеть,
ӯсьлахтаӈкве,отдохнуть,
ӯсьлахтуӈкве,отдохнуть,
ӯсьлахтыгла̄луӈкве,отдыхать,
